"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/stream-35a1ee2c51d2160356fd7bbea6bc4089","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"435.48561668396","36.0","100.0","7772.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25476.0"
"440.3027262687683","36.0","100.0","7900.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25604.0"
"445.1011235713959","36.0","100.0","7900.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25604.0"
"450.08906865119934","36.0","100.0","8028.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25736.0"
"455.4867491722107","36.0","100.0","8156.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25864.0"
"460.263964176178","36.0","100.0","8156.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25864.0"
"465.11731815338135","36.0","100.0","8156.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","25864.0"
"470.30279088020325","36.0","100.0","8416.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26124.0"
"475.0247492790222","36.0","100.0","8416.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26124.0"
"480.27043080329895","36.0","108.0","8556.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26260.0"
"485.1203677654266","36.0","108.0","8684.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26388.0"
"490.4039742946625","36.0","108.0","8684.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26388.0"
"495.1521484851837","36.0","108.0","8812.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26516.0"
"500.4359683990479","36.0","108.0","8940.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26644.0"
"505.1784138679504","36.0","112.0","8940.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26644.0"
"510.0203037261963","36.0","112.0","9080.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26784.0"
"515.2719888687134","36.0","112.0","9208.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26912.0"
"520.4839935302733","36.0","112.0","9208.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","26916.0"
"525.2719221115111","36.0","112.0","9336.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27044.0"
"530.0455965995789","36.0","116.0","9464.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27168.0"
"535.4365484714508","36.0","116.0","9464.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27168.0"
"540.2736721038818","36.0","116.0","9600.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27308.0"
"545.0554785728456","36.0","116.0","9728.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27436.0"
