"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"635.3948526382446","40.0","136.0","10868.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28580.0"
"640.16619181633","40.0","136.0","10868.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28580.0"
"645.0696575641633","40.0","136.0","11000.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","28712.0"
"650.4621713161469","40.0","140.0","10868.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44960.0"
"655.3051080703735","40.0","140.0","10868.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44960.0"
"660.1260094642638","40.0","140.0","11004.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45100.0"
"665.391695022583","40.0","140.0","11132.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45228.0"
"670.2835454940796","40.0","140.0","11132.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45228.0"
"675.0695421695708","40.0","144.0","10488.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44580.0"
"680.3079750537872","40.0","144.0","10488.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44580.0"
"685.0685603618623","40.0","144.0","10624.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44720.0"
"690.3970417976379","40.0","144.0","10756.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44852.0"
