"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-179e1a20410cfce1ebbb071c9b6379ed","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"685.1043531894684","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"690.407411813736","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"695.2343192100525","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"700.0108597278595","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"705.4033958911896","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"710.2886407375336","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"715.0370965003967","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"720.3570928573607","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"725.2709941864014","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"730.1660315990448","36.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17736.0"
"735.0021767616272","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"740.3024208545685","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"745.1884644031525","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"750.0665321350098","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"755.3956208229065","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"760.188455581665","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"765.4901025295258","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"770.3325319290161","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"775.2083842754364","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"780.0583465099335","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"785.4247636795044","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"790.2694387435913","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"795.0622425079346","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"800.3145406246185","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"805.1022336483003","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"810.4257302284241","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"815.3537514209747","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"820.1217498779297","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"825.0082817077638","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"830.3660652637483","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"835.1342537403108","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"840.1342799663544","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"845.4532299041748","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"850.3344559669495","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17740.0"
"855.2918164730072","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"860.2302832603455","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"865.0041553974153","40.0","32.0","40.0","40.0","17452.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17744.0"
"870.3514432907104","40.0","32.0","40.0","48.0","17460.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17748.0"
"875.2269241809845","40.0","32.0","40.0","48.0","17460.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17748.0"
"880.4049339294434","40.0","32.0","40.0","48.0","17460.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17748.0"
"885.2493867874146","40.0","32.0","40.0","48.0","17460.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17748.0"
"890.0123863220215","40.0","32.0","40.0","48.0","17460.0","16.0","28.0","24.0","4.0","4.0","12.0","24.0","68.0","32.0","17748.0"
